id,name,url,category,subcategory,special_tools
104,english scones,https://cooking.nytimes.com/recipes/1013574-english-scones,dessert,scones,
105,maple scones,https://cooking.nytimes.com/recipes/11859-maple-scones,dessert,scones,
106,whipped cream scones,https://cooking.nytimes.com/recipes/1019977-whipped-cream-scones-with-chocolate-and-cherries,dessert,scones,
107,whole wheat apple pecan scones,https://cooking.nytimes.com/recipes/1016992-whole-wheat-apple-pecan-scones,dessert,scones,
108,bittersweet brownie shortbread,https://cooking.nytimes.com/recipes/1020851-bittersweet-brownie-shortbread,dessert,shortbread,
109,lemon shortcakes with gingered blueberries,https://cooking.nytimes.com/recipes/1020123-lemon-shortcakes-with-gingered-blueberries,dessert,shortcake,
110,simplest strawberry tart,https://cooking.nytimes.com/recipes/1018052-simplest-strawberry-tart,dessert,sweet tart,
111,spiced pear tart,https://cooking.nytimes.com/recipes/1020475-spiced-pear-tart,dessert,sweet tart,
112,chocolate truffle tart,https://cooking.nytimes.com/recipes/1020872-chocolate-truffle-tart,dessert,tart,stand mixer
113,fresh fig tart,https://cooking.nytimes.com/recipes/1018261-fresh-fig-tart,dessert,tart,
114,pan baked lemon almond tart,https://cooking.nytimes.com/recipes/1012809-pan-baked-lemon-almond-tart,dessert,tart,
115,sable breton galette,https://cooking.nytimes.com/recipes/1015637-sable-breton-galette-with-berries,dessert,tart,food processor
116,streusel,https://cooking.nytimes.com/recipes/1015663-streusel,dessert,topping,
117,chocolate mousse torte,https://cooking.nytimes.com/recipes/1020262-maida-heatters-chocolate-mousse-torte,dessert,torte,double boiler
118,vegan pumpkin cheesecake,https://cooking.nytimes.com/recipes/1015404-vegan-pumpkin-cheesecake,dessert,vegan,
119,black bean tacos,https://cooking.nytimes.com/recipes/1020744-black-bean-tacos-with-avocado-and-spicy-onions,entree,beans,
120,cheesy spicy black bean bake,https://cooking.nytimes.com/recipes/1020705-cheesy-spicy-black-bean-bake,entree,beans,
121,creamy white beans with herb oil,https://cooking.nytimes.com/recipes/1019385-creamy-white-beans-with-herb-oil,entree,beans,
122,lentils cacciatore,https://cooking.nytimes.com/recipes/1020976-lentils-cacciatore,entree,beans,
123,mujadara with leeks and greens,https://cooking.nytimes.com/recipes/1014804-one-pot-mujadara-with-leeks-and-greens,entree,beans,
124,white beans with radishes misso and greens,https://cooking.nytimes.com/recipes/1020185-white-beans-with-radishes-miso-and-greens,entree,beans,
125,best scrambled eggs,https://cooking.nytimes.com/recipes/1015676-the-best-scrambled-eggs,entree,breakfast,
126,breakfast,https://cooking.nytimes.com/recipes/6648-dutch-baby,entree,breakfast,
127,caramel apple dutch baby,https://cooking.nytimes.com/recipes/1020513-caramel-apple-dutch-baby,entree,breakfast,
128,classic latkes,https://cooking.nytimes.com/recipes/1015533-classic-potato-latkes,entree,breakfast,food processor
129,czech potato pancakes,https://cooking.nytimes.com/recipes/11645-karolina-kurkovas-czech-potato-pancakes,entree,breakfast,
130,eggs kerjiwal,https://cooking.nytimes.com/recipes/1018717-eggs-kejriwal,entree,breakfast,
131,everyday pancakes,https://cooking.nytimes.com/recipes/1893-everyday-pancakes,entree,breakfast,
132,herby polenta,https://cooking.nytimes.com/recipes/1020218-herby-polenta-with-corn-eggs-and-feta,entree,breakfast,
133,huevos rotos,https://cooking.nytimes.com/recipes/1020055-huevos-rotos-broken-eggs,entree,breakfast,
134,latkes,https://cooking.nytimes.com/recipes/1014465-latkes,entree,breakfast,grater
135,mayi moulen,https://cooking.nytimes.com/recipes/1018262-haitian-cornmeal-porridge-mayi-moulen,entree,breakfast,
136,perfect boiled eggs,https://cooking.nytimes.com/recipes/1020468-perfect-boiled-eggs,entree,breakfast,
137,potato nik,https://cooking.nytimes.com/recipes/12207-potato-nik,entree,breakfast,
138,shakshuka with feta,https://cooking.nytimes.com/recipes/1014721-shakshuka-with-feta,entree,breakfast,
139,swiss chard fritters,https://cooking.nytimes.com/recipes/1014372-swiss-chard-fritters,entree,breakfast,
140,bean and cheese enchiladas,https://cooking.nytimes.com/recipes/1020244-vegetarian-bean-and-cheese-enchiladas,entree,casserole,
141,cabbage and potato gratin,https://cooking.nytimes.com/recipes/1018004-cabbage-and-potato-gratin,entree,casserole,
142,roasted cauliflower gratin with tomatoes and goat cheese,https://cooking.nytimes.com/recipes/1015968-roasted-cauliflower-gratin-with-tomatoes-and-goat-cheese,entree,casserole,
143,scalloped potato gratin,https://cooking.nytimes.com/recipes/1020921-scalloped-potato-gratin,entree,casserole,
144,tomato cobbler with ricotta biscuits,https://cooking.nytimes.com/recipes/1020384-tomato-cobbler-with-ricotta-biscuits,entree,casserole,
145,tomato zucchini casserole,https://cooking.nytimes.com/recipes/1018809-tomato-and-zucchini-casserole-with-crisp-cheddar-topping,entree,casserole,
146,zucchini flan,https://cooking.nytimes.com/recipes/1017582-zucchini-flan,entree,casserole,
147,butter tofu,https://cooking.nytimes.com/recipes/1020094-indian-butter-tofu-tofu-makhani,entree,curry,
148,egg curry,https://cooking.nytimes.com/recipes/1020912-egg-curry,entree,curry,
149,spiced brown lentils with yogurt,https://cooking.nytimes.com/recipes/1012661-spiced-brown-lentils-with-yogurt,entree,curry,
150,toor dal,https://cooking.nytimes.com/recipes/1020907-toor-dal-split-yellow-pigeon-peas,entree,curry,
151,trini chana and aloo,https://cooking.nytimes.com/recipes/1017726-trini-chana-and-aloo,entree,curry,
152,flaky folded biscuits,https://cooking.nytimes.com/recipes/1020707-flaky-folded-biscuits,entree,dessert,grater
153,broccoli rabe shakshuka,https://cooking.nytimes.com/recipes/1018252-broccoli-rabe-shakshuka-style,entree,egg,
154,chilaquiles,https://cooking.nytimes.com/recipes/1016917-chilaquiles-a-la-lydia-child,entree,egg,
155,chile oil fried eggs with greens and yogurt,https://cooking.nytimes.com/recipes/1021034-chile-oil-fried-eggs-with-greens-and-yogurt,entree,egg,
156,eggs in purgatory,https://cooking.nytimes.com/recipes/1019109-eggs-in-purgatory,entree,egg,
157,green shakshuka,https://cooking.nytimes.com/recipes/1019468-green-shakshuka-with-avocado-and-lime,entree,egg,
158,tomato egg casserole,https://cooking.nytimes.com/recipes/1016158-indian-spiced-tomato-and-egg-casserole,entree,egg,
159,fresh herb kuku,https://cooking.nytimes.com/recipes/1018062-fresh-herb-kuku,entree,frittata,
160,green okonomiyaki,https://cooking.nytimes.com/recipes/1020099-green-okonomiyaki,entree,frittata,
161,kuku sabzi,https://cooking.nytimes.com/recipes/1020203-kuku-sabzi-persian-herb-frittata,entree,frittata,
162,more vegetable than egg frittata,https://cooking.nytimes.com/recipes/1012629-more-vegetable-than-egg-frittata,entree,frittata,
163,pasta frittata,https://cooking.nytimes.com/recipes/6791-pasta-frittata,entree,frittata,
164,baked ziti,https://cooking.nytimes.com/recipes/1018954-baked-ziti,entree,noodles,
165,baked ziti with cauliflower,https://cooking.nytimes.com/recipes/1014470-baked-ziti-or-penne-rigate-with-cauliflower,entree,noodles,
166,best macaroni and cheese,https://cooking.nytimes.com/recipes/1812-the-best-macaroni-and-cheese,entree,noodles,
167,cannellini bean pasta with beurre blanc,https://cooking.nytimes.com/recipes/1020546-cannellini-bean-pasta-with-beurre-blanc,entree,noodles,
168,caramelized scallion noodles,https://cooking.nytimes.com/recipes/1019309-caramelized-scallion-noodles,entree,noodles,
169,classic baked macaroni and cheese,https://cooking.nytimes.com/recipes/1019251-classic-baked-macaroni-and-cheese,entree,noodles,
170,cold udon noodles with carrot and egg,https://cooking.nytimes.com/recipes/11846-cold-udon-noodles-with-carrot-and-egg,entree,noodles,
171,creamy corn pasta,https://cooking.nytimes.com/recipes/1018212-creamy-corn-pasta-with-basil,entree,noodles,
172,creamy lemon pasta,https://cooking.nytimes.com/recipes/8355-creamy-lemon-pasta,entree,noodles,
173,creamy macaroni and cheese,https://cooking.nytimes.com/recipes/1015825-creamy-macaroni-and-cheese,entree,noodles,
174,creamy turmeric pasta,https://cooking.nytimes.com/recipes/1020033-creamy-turmeric-pasta,entree,noodles,
175,creamy weeknight macaroni and cheese,https://cooking.nytimes.com/recipes/1019252-creamy-weeknight-macaroni-and-cheese,entree,noodles,
176,crusty macaroni and cheese,https://cooking.nytimes.com/recipes/1015824-crusty-macaroni-and-cheese,entree,noodles,
177,fettuccine alfredo,https://cooking.nytimes.com/recipes/9025-elaines-fettuccine-alfredo,entree,noodles,
178,four cheese macaroni and cheese,https://cooking.nytimes.com/recipes/1014635-four-cheese-macaroni-and-cheese,entree,noodles,
179,french onion macaroni and cheese,https://cooking.nytimes.com/recipes/1020547-french-onion-macaroni-and-cheese,entree,noodles,
180,hearty whole wheat pasta with brussels sprouts cheese and potato,https://cooking.nytimes.com/recipes/1014588-hearty-whole-wheat-pasta-with-brussels-sprouts-cheese-and-potato,entree,noodles,
181,pasta and zucchini salad,https://cooking.nytimes.com/recipes/1013578-yotam-ottolenghis-pasta-and-zucchini-salad,entree,noodles,
182,pasta e ceci,https://cooking.nytimes.com/recipes/1020860-pasta-e-ceci-italian-pasta-and-chickpea-stew,entree,noodles,
183,pasta primavera with asparagus and peas,https://cooking.nytimes.com/recipes/1017392-pasta-primavera-with-asparagus-and-peas,entree,noodles,
184,penne alla vodka,https://cooking.nytimes.com/recipes/9347-penne-alla-vodka,entree,noodles,
185,ravioli verde,https://cooking.nytimes.com/recipes/1018704-ravioli-verdi-with-butter-parmesan-and-pepper,entree,noodles,
186,savory thai noodles,https://cooking.nytimes.com/recipes/1020480-savory-thai-noodles-with-seared-brussels-sprouts,entree,noodles,
187,sheet pan spicy roasted broccoli pasta,https://cooking.nytimes.com/recipes/1018580-sheet-pan-spicy-roasted-broccoli-pasta,entree,noodles,
188,skillet lasagna with spinach and summer squash,https://cooking.nytimes.com/recipes/1019470-skillet-lasagna-with-spinach-and-summer-squash,entree,noodles,
189,soba salad,https://cooking.nytimes.com/recipes/1012786-soba-salad,entree,noodles,
190,southern macaroni and cheese,https://cooking.nytimes.com/recipes/1020515-southern-macaroni-and-cheese,entree,noodles,
191,spaghetti with fried eggs,https://cooking.nytimes.com/recipes/8357-spaghetti-with-fried-eggs,entree,noodles,
192,sweet and spicy tofu soba noodles,https://cooking.nytimes.com/recipes/1019471-sweet-and-spicy-tofu-with-soba-noodles,entree,noodles,
193,the big lasagna,https://cooking.nytimes.com/recipes/1021031-the-big-lasagna,entree,noodles,
194,vegan fettucine alfredo,https://cooking.nytimes.com/recipes/1021040-vegan-fettuccine-alfredo,entree,noodles,
195,vegetarian carbonara with spinach,https://cooking.nytimes.com/recipes/1019816-vegetarian-carbonara-with-spinach,entree,noodles,
196,whole wheat papardelle with fava puree,https://cooking.nytimes.com/recipes/1017984-whole-wheat-pappardelle-with-fava-puree,entree,noodles,
197,zucchini pasta,https://cooking.nytimes.com/recipes/1018687-zucchini-pasta,entree,noodles,
198,blistered broccoli pasta with walnuts pecorino and mint,https://cooking.nytimes.com/recipes/1020997-blistered-broccoli-pasta-with-walnuts-pecorino-and-mint,entree,pasta,
199,cheesy baked pumpkin pasta with kale,https://cooking.nytimes.com/recipes/1019598-cheesy-baked-pumpkin-pasta-with-kale,entree,pasta,
200,five ingredient creamy miso pasta,https://cooking.nytimes.com/recipes/1020979-five-ingredient-creamy-miso-pasta,entree,pasta,
201,pasta with garlicky spinach and buttered pistachios,https://cooking.nytimes.com/recipes/1021000-pasta-with-garlicky-spinach-and-buttered-pistachios,entree,pasta,
202,springtime spaghetti carbonara,https://cooking.nytimes.com/recipes/1017998-springtime-spaghetti-carbonara,entree,pasta,
203,summer pasta with zucchini ricotta and basil,https://cooking.nytimes.com/recipes/1017463-summer-pasta-with-zucchini-ricotta-and-basil,entree,pasta,
204,aloo masala,https://cooking.nytimes.com/recipes/1020910-aloo-masala-spiced-potatoes,entree,potato,
205,crisp gnocchi with brussels sprouts and brown butter,https://cooking.nytimes.com/recipes/1020453-crisp-gnocchi-with-brussels-sprouts-and-brown-butter,entree,potato,
206,pierogi ruskie,https://cooking.nytimes.com/recipes/1020983-pierogi-ruskie-potato-and-cheese-pierogi,entree,potato,
207,sweet potatoes with tahini butter,https://cooking.nytimes.com/recipes/1020274-sweet-potatoes-with-tahini-butter,entree,potato,
208,baked bean and cheese quesadillas,https://cooking.nytimes.com/recipes/1013515-baked-bean-and-cheese-quesadillas,entree,sandwich,
209,cheddar cucumber and marmalade sandwiches,https://cooking.nytimes.com/recipes/1013813-cheddar-cucumber-and-marmalade-sandwiches,entree,sandwich,
210,french onion grilled cheese,https://cooking.nytimes.com/recipes/1020107-french-onion-grilled-cheese,entree,sandwich,
211,grilled cheese with apples and apple butter,https://cooking.nytimes.com/recipes/1020532-grilled-cheese-with-apples-and-apple-butter,entree,sandwich,
212,squash blossom quesadillas,https://cooking.nytimes.com/recipes/8998-squash-blossom-quesadillas,entree,sandwich,
213,vegetable and dip pita poket,https://cooking.nytimes.com/recipes/1019520-vegetables-and-dip-pita-pocket,entree,sandwich,
214,asparagus goat cheese and tarragon tart,https://cooking.nytimes.com/recipes/1020920-asparagus-goat-cheese-and-tarragon-tart,entree,savory tart,
215,butternut squash and fondue pie,https://cooking.nytimes.com/recipes/1020507-butternut-squash-and-fondue-pie-with-pickled-red-chiles,entree,savory tart,
216,greek pumpkin and leek pie,https://cooking.nytimes.com/recipes/1014220-greek-pumpkin-and-leek-pie,entree,savory tart,
217,harvest tart with pumpkin and peppers,https://cooking.nytimes.com/recipes/1013877-harvest-tart-with-pumpkin-and-peppers,entree,savory tart,
218,potato tart,https://cooking.nytimes.com/recipes/1020058-potato-tart-with-goat-cheese-and-thyme,entree,savory tart,
219,spinach feta borek,https://cooking.nytimes.com/recipes/1020581-spinach-and-feta-borek,entree,savory tart,
220,zucchini egg tart,https://cooking.nytimes.com/recipes/1020143-zucchini-and-egg-tart-with-fresh-herbs,entree,savory tart,
221,savory dutch baby,https://cooking.nytimes.com/recipes/1017789-savory-dutch-baby,entree,snack,
222,phyllo pastry with fresh figs and ricotta,https://cooking.nytimes.com/recipes/1016796-phyllo-pastry-with-fresh-figs-and-ricotta,entree,tart,
223,asparagus revuelto,https://cooking.nytimes.com/recipes/1016240-spanish-asparagus-revuelto,entree,veg,
224,beet greens and cheddar crumble,https://cooking.nytimes.com/recipes/1016159-beet-greens-and-cheddar-crumble,entree,veg,
225,cauliflower chaat,https://cooking.nytimes.com/recipes/1019622-cauliflower-chaat-for-one,entree,veg,
226,cauliflower parmesan,https://cooking.nytimes.com/recipes/1017170-cauliflower-parmesan,entree,veg,
227,chickpea and fennel ratatoille,https://cooking.nytimes.com/recipes/1015123-chickpea-and-fennel-ratatouille,entree,veg,
228,crispy spiced cauliflower steaks,https://cooking.nytimes.com/recipes/1020168-crispy-spiced-cauliflower-steaks,entree,veg,
229,eggplant ravaiya,https://cooking.nytimes.com/recipes/1018887-eggplant-ravaiya,entree,veg,
230,eggplant walnut ricotta rolls,https://cooking.nytimes.com/recipes/1017803-eggplant-walnut-ricotta-rolls-with-fresh-greens-and-basil-salad,entree,veg,
231,ricotta dumplings with buttered peas and asparagus,https://cooking.nytimes.com/recipes/1020204-ricotta-dumplings-with-buttered-peas-and-asparagus,entree,veg,
232,roasted vegetable bibimbap,https://cooking.nytimes.com/recipes/1018011-roasted-vegetable-bibimbap,entree,veg,
233,slow cooker creamy kale with fontina and breadcrumbs,https://cooking.nytimes.com/recipes/1019724-slow-cooker-creamy-kale-with-fontina-and-bread-crumbs,entree,veg,slow cooker
234,spring vegetable ragout with brown butter couscous,https://cooking.nytimes.com/recipes/1020069-spring-vegetable-ragout-with-brown-butter-couscous,entree,veg,
235,stuffed delicata squash with lentils and cashew raita,https://cooking.nytimes.com/recipes/1017804-stuffed-delicata-squash-with-lentils-and-cashew-raita,entree,veg,
236,sumac scented eggplant and chickpeas,https://cooking.nytimes.com/recipes/1019910-sumac-scented-eggplant-and-chickpeas,entree,veg,
237,three sisters squash,https://cooking.nytimes.com/recipes/1016994-three-sisters-squash,entree,veg,
238,tofu and green beans with chile crisp,https://cooking.nytimes.com/recipes/1020993-tofu-and-green-beans-with-chile-crisp,entree,veg,
239,twice baked butternut squash,https://cooking.nytimes.com/recipes/1017825-twice-baked-butternut-squash-with-cashew-cheese-walnuts-and-cranberries,entree,veg,
240,vegetable dumplings,https://cooking.nytimes.com/recipes/1020064-vegetable-dumplings,entree,veg,grater
241,vegetable stir fry,https://cooking.nytimes.com/recipes/1018978-mall-style-vegetable-stir-fry,entree,veg,
242,venetian cauliflower,https://cooking.nytimes.com/recipes/1017308-venetian-cauliflower,entree,veg,
243,whole pot roasted cauliflower,https://cooking.nytimes.com/recipes/1017376-whole-pot-roasted-cauliflower-with-tomatoes-and-anchovies,entree,veg,
